Date,Open,High,Low,Close,Adj Close,Volume
2020-11-05,7.150000,7.640000,7.110000,7.520000,7.459538,1701000
2020-11-06,7.600000,7.670000,7.280000,7.610000,7.548814,1046000
2020-11-09,8.150000,8.690000,8.090000,8.090000,8.024955,1511300
2020-11-10,8.260000,8.920000,8.020000,8.800000,8.729246,2131700
2020-11-11,8.750000,8.780000,8.280000,8.300000,8.233267,1158500
2020-11-12,8.270000,8.400000,7.850000,7.910000,7.846402,1186900
2020-11-13,7.870000,8.280000,7.870000,8.260000,8.193588,687700
2020-11-16,8.590000,8.590000,8.220000,8.370000,8.302704,724000
2020-11-17,8.240000,8.650000,8.070000,8.610000,8.540773,819300
2020-11-18,8.500000,8.580000,8.140000,8.190000,8.124150,712000
2020-11-19,8.190000,8.510000,8.110000,8.330000,8.263025,594700
2020-11-20,8.300000,8.380000,8.000000,8.120000,8.054713,609500
2020-11-23,8.470000,8.530000,8.260000,8.310000,8.243186,706000
2020-11-24,8.500000,8.990000,8.480000,8.820000,8.749085,1220200
2020-11-25,8.860000,8.860000,8.450000,8.760000,8.689569,472000
2020-11-27,8.770000,9.150000,8.730000,9.070000,8.997075,490600
2020-11-30,9.080000,9.100000,8.580000,8.610000,8.540773,620700
2020-12-01,8.870000,9.100000,8.810000,8.860000,8.788764,593300
2020-12-02,8.770000,9.270000,8.690000,9.120000,9.046674,570200
2020-12-03,9.100000,9.280000,8.940000,8.970000,8.897880,479000
2020-12-04,9.020000,9.180000,8.950000,9.080000,9.006995,567600
2020-12-07,9.070000,9.110000,8.870000,8.950000,8.878040,477900
2020-12-08,9.000000,9.060000,8.610000,8.720000,8.649890,381800
2020-12-09,8.910000,8.950000,8.580000,8.790000,8.719327,628700
2020-12-10,8.790000,9.400000,8.710000,9.380000,9.304584,859100
2020-12-11,9.220000,9.370000,8.950000,8.990000,8.917719,520800
2020-12-14,9.060000,9.270000,8.760000,8.810000,8.739166,539700
2020-12-15,8.950000,9.060000,8.750000,9.060000,8.987156,381700
2020-12-16,9.050000,9.070000,8.860000,9.040000,8.967317,461700
2020-12-17,9.010000,9.080000,8.850000,8.900000,8.828442,530300
2020-12-18,8.890000,8.950000,8.600000,8.730000,8.659809,868600
2020-12-21,8.490000,8.600000,8.160000,8.470000,8.401900,570500
2020-12-22,8.530000,8.850000,8.380000,8.450000,8.382060,633600
2020-12-23,8.480000,8.790000,8.480000,8.690000,8.620131,356600
2020-12-24,8.730000,8.820000,8.570000,8.680000,8.610211,181500
2020-12-28,8.650000,8.880000,8.640000,8.670000,8.600291,499100
2020-12-29,8.670000,9.200000,8.670000,9.130000,9.056593,1027900
2020-12-30,9.180000,9.340000,8.830000,8.880000,8.808603,767100
2020-12-31,8.880000,8.950000,8.510000,8.740000,8.669728,696800
2021-01-04,8.750000,8.750000,8.200000,8.280000,8.213427,1137500
2021-01-05,8.170000,8.400000,8.100000,8.190000,8.124150,469000
2021-01-06,8.300000,8.540000,8.170000,8.310000,8.243186,593800
2021-01-07,8.450000,8.540000,8.110000,8.320000,8.253105,828000
2021-01-08,8.350000,8.440000,8.130000,8.220000,8.153910,429100
2021-01-11,8.100000,8.130000,7.860000,7.940000,7.876161,836800
2021-01-12,7.980000,8.210000,7.960000,8.110000,8.044794,731500
2021-01-13,8.090000,8.340000,8.040000,8.100000,8.034875,450700
2021-01-14,8.130000,8.270000,8.000000,8.270000,8.203508,464000
